"row ID","Whether of not the TA is a native English speaker (binary)","Course instructor","Course","Summer or regular semester (binary)","Class size","Class"
"Row0",1,23,3,1,19,3
"Row1",2,15,3,1,17,3
"Row2",1,23,3,2,49,3
"Row3",1,5,2,2,33,3
"Row4",2,7,11,2,55,3
"Row5",2,23,3,1,20,3
"Row6",2,9,5,2,19,3
"Row7",2,10,3,2,27,3
"Row8",1,22,3,1,58,3
"Row9",2,15,3,1,20,3
"Row10",2,10,22,2,9,3
"Row11",2,13,1,2,30,3
"Row12",2,18,21,2,29,3
"Row13",2,6,17,2,39,3
"Row14",2,6,17,2,42,2
"Row15",2,6,17,2,43,2
"Row16",2,7,11,2,10,2
"Row17",2,22,3,2,46,2
"Row18",2,13,3,1,10,2
"Row19",2,7,25,2,42,2
"Row20",2,25,7,2,27,2
"Row21",2,25,7,2,23,2
"Row22",2,2,9,2,31,2
"Row23",2,1,15,1,22,2
"Row24",2,15,13,2,37,2
"Row25",2,7,11,2,13,2
"Row26",2,8,3,2,24,2
"Row27",2,14,15,2,38,2
"Row28",2,21,2,2,42,1
"Row29",2,22,3,2,28,1
"Row30",2,11,1,2,51,1
"Row31",2,18,5,2,19,1
"Row32",2,13,1,2,31,1
"Row33",1,13,3,1,13,1
"Row34",2,5,2,2,37,1
"Row35",2,16,8,2,36,1
"Row36",2,4,16,2,21,1
"Row37",2,5,2,2,48,1
"Row38",2,14,15,2,38,1
"Row39",1,23,3,1,19,3
"Row40",2,15,3,1,17,3
"Row41",1,23,3,2,49,3
"Row42",1,5,2,2,33,3
"Row43",2,7,11,2,55,3
"Row44",2,23,3,1,20,3
"Row45",2,9,5,2,19,3
"Row46",2,10,3,2,27,3
"Row47",1,22,3,2,58,3
"Row48",2,15,3,1,20,3
"Row49",2,10,22,2,9,3
"Row50",2,13,1,2,30,3
"Row51",2,18,21,2,29,3
"Row52",2,6,17,2,39,3
"Row53",2,6,17,2,42,2
"Row54",2,6,17,2,43,2
"Row55",2,7,11,2,10,2
"Row56",2,22,3,2,46,2
"Row57",2,13,3,1,10,2
"Row58",2,7,25,2,42,2
"Row59",2,25,7,2,27,2
"Row60",2,25,7,2,23,2
"Row61",2,2,9,2,31,2
"Row62",2,1,15,1,22,2
"Row63",2,15,13,2,37,2
"Row64",2,7,11,2,13,2
"Row65",2,8,3,2,24,2
"Row66",2,14,15,2,38,2
"Row67",2,21,2,2,42,1
"Row68",2,22,3,2,28,1
"Row69",2,11,1,2,51,1
"Row70",2,18,5,2,19,1
"Row71",2,13,1,2,31,1
"Row72",1,13,3,1,13,1
"Row73",2,5,2,2,37,1
"Row74",2,16,8,2,36,1
"Row75",2,4,16,2,21,1
"Row76",2,5,2,2,48,1
"Row77",2,14,15,2,38,1
"Row78",1,23,3,1,25,3
"Row79",1,13,3,1,17,3
"Row80",2,16,19,2,11,3
"Row81",2,9,2,2,39,3
"Row82",2,13,3,1,11,3
"Row83",2,18,21,2,19,3
"Row84",1,22,3,2,45,3
"Row85",2,7,11,1,20,3
"Row86",2,23,3,1,20,3
"Row87",1,23,3,1,20,3
"Row88",1,23,3,2,38,3
"Row89",2,14,22,2,17,3
"Row90",1,17,17,2,19,3
"Row91",2,9,5,2,24,3
"Row92",2,18,25,2,25,3
"Row93",1,17,17,2,31,3
"Row94",2,1,15,2,31,3
"Row95",2,1,8,2,18,2
"Row96",1,11,16,2,22,2
"Row97",1,22,13,2,27,2
"Row98",2,9,2,2,14,2
"Row99",2,13,1,2,20,2
"Row100",1,6,17,2,35,2
"Row101",2,23,3,1,20,2
"Row102",1,23,3,1,20,2
"Row103",2,6,17,2,37,2
"Row104",1,22,3,2,15,2
"Row105",2,20,2,2,25,2
"Row106",2,23,3,2,10,2
"Row107",2,20,2,2,14,1
"Row108",1,23,3,2,38,1
"Row109",2,13,1,2,29,1
"Row110",2,10,3,2,19,1
"Row111",2,7,11,2,30,1
"Row112",1,14,15,2,32,1
"Row113",2,8,3,2,27,1
"Row114",2,12,7,2,34,1
"Row115",2,8,7,2,23,1
"Row116",2,15,1,2,66,1
"Row117",2,23,3,2,12,1
"Row118",2,2,9,2,29,1
"Row119",2,15,1,2,19,1
"Row120",2,20,2,2,3,1
"Row121",2,13,14,2,17,3
"Row122",2,9,6,2,7,3
"Row123",1,10,3,2,21,3
"Row124",2,14,15,2,36,3
"Row125",1,13,1,2,54,3
"Row126",1,8,3,2,29,3
"Row127",2,20,2,2,45,3
"Row128",2,22,1,2,11,2
"Row129",2,18,12,2,16,2
"Row130",2,20,15,2,18,2
"Row131",1,17,18,2,44,2
"Row132",2,14,23,2,17,2
"Row133",2,24,26,2,21,2
"Row134",2,9,24,2,20,2
"Row135",2,12,8,2,24,2
"Row136",2,9,6,2,5,2
"Row137",2,22,1,2,42,2
"Row138",2,7,11,2,30,1
"Row139",2,10,3,2,19,1
"Row140",2,23,3,2,11,1
"Row141",2,17,18,2,29,1
"Row142",2,16,20,2,15,1
"Row143",2,3,2,2,37,1
"Row144",2,19,4,2,10,1
"Row145",2,23,3,2,24,1
"Row146",2,3,2,2,26,1
"Row147",2,10,3,2,12,1
"Row148",1,18,7,2,48,1
"Row149",2,22,1,2,51,1
"Row150",2,2,10,2,27,1
